datetime,alpha_rad,psi_rad,muN,muE,muS,muW,uN,uE,uS,uW,I_N,I_E,I_S,I_W
2014-06-18 23:00:00,-0.885436760324858,2.286964417868891,0.0,0.4053271318650059,0.4861454756695732,0.0,1.0,0.5135535645683438,1.0,0.27137868743605587,0.0,0.0,0.0,0.0
2014-06-19 00:00:00,-1.0572984608876865,2.587844233096483,0.0,0.18862382898529312,0.4535691944914545,0.0,1.0,0.5834953172271948,1.0,0.37614058497179104,0.0,0.0,0.0,0.0
2014-06-19 01:00:00,-1.1381840745867335,3.0900597083420074,0.0,0.0,0.4167963281895371,0.04523500592355615,1.0,0.6266153653810507,1.0,0.4407277291982742,0.0,0.0,0.0,0.0
2014-06-19 02:00:00,-1.08052903994453,3.6196135144517334,0.0,0.0,0.37833288683226063,0.28031227973250167,1.0,0.6485318102692197,1.0,0.473555164405982,0.0,0.0,0.0,0.0
2014-06-19 03:00:00,-0.9202958284358611,3.955025600968842,0.0,0.0,0.34080009038428205,0.5005878647150266,1.0,0.6489637637963168,1.0,0.4742021637936962,0.0,0.0,0.0,0.0
2014-06-19 04:00:00,-0.7135009922771145,4.134981154630529,0.0,0.0,0.3067557368976516,0.6910503437771875,1.0,0.6197562540325844,1.0,0.4304538442446165,0.0,0.0,0.0,0.0
2014-06-19 05:00:00,-0.48696753229948025,4.232129211866428,0.0,0.0,0.2785198928015299,0.8387200137250269,1.0,0.5342288485396988,1.0,0.3023470560941045,0.0,0.0,0.0,0.0
2014-06-19 06:00:00,-0.25152663917466117,4.283093412405309,0.0,0.0,0.25801678420912777,0.9335334305872677,1.0,0.30299262106845015,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-19 07:00:00,-0.01221833018885826,4.303514539130841,0.0,0.0,0.24664366408802968,0.9690292166913277,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-19 08:00:00,0.22698402563128844,4.2979634422139865,0.0,0.0,0.24557293815482525,0.9428949879182587,0.0,0.28079946366742725,0.0,0.0,68.9700003236124,68.9700003236124,68.9700003236124,68.9700003236124
2014-06-19 09:00:00,0.4650414513563551,4.264514101239655,0.0,0.0,0.25407271405720067,0.8569310461491385,0.0,0.5528143690512766,0.0,0.3301852832111628,105.8450003979873,105.8450003979873,105.8450003979873,199.36148952278467
2014-06-19 10:00:00,0.6970482060653325,4.19010754976966,0.0,0.0,0.2719973855314885,0.7168740059586002,0.0,0.6523117694847871,0.0,0.4792169570402336,167.89000050860116,167.89000050860116,167.89000050860116,251.19113832631206
2014-06-19 11:00:00,0.914644146473181,4.0421818845095805,0.0,0.0,0.2981254158386364,0.5322685231804256,0.0,0.687792010480426,0.0,0.5323608550757646,168.79500046529486,168.79500046529486,168.79500046529486,226.9260841609148
2014-06-19 12:00:00,1.0959786179426771,3.7441777312443727,0.0,0.0,0.330676222891824,0.31569515639096307,0.0,0.6911786218141418,0.0,0.5374334735911543,210.2650005116015,210.2650005116015,210.2650005116015,244.43216731002434
2014-06-19 13:00:00,1.1848333861831142,3.2012998387956673,0.0,0.0,0.3674315229831285,0.08191302263250344,0.0,0.6724308186674015,0.0,0.5093521722566161,214.22500042937313,214.22500042937313,214.22500042937313,219.31640638035802
2014-06-19 14:00:00,1.1220709829486213,2.6211561601277467,0.0,0.15314601202255693,0.4058865031523332,0.0,0.0,0.632802676870186,0.0,0.44999536215863367,202.89500062272242,251.35448025091068,202.89500062272242,202.89500062272242
2014-06-19 15:00:00,0.9523889391204685,2.281985435766357,0.0,0.373463062815898,0.4434205200507658,0.0,0.0,0.5676256557058343,0.0,0.3523702933930717,169.310000491247,262.89387682810434,169.310000491247,169.310000491247
2014-06-19 16:00:00,0.7392265900963579,2.1136453345987007,0.0,0.5640238868270938,0.47747569245469434,0.0,0.0,0.4651072959076632,0.0,0.19881369098573265,114.42000038176245,243.72588157646118,114.42000038176245,114.42000038176245
2014-06-19 17:00:00,0.5090603355415666,2.0288640955120485,0.0,0.7118420788164339,0.5057312166436232,0.0,0.0,0.3025762484132808,0.0,0.0,68.48000022662453,160.03434219219116,68.48000022662453,68.48000022662453
2014-06-19 18:00:00,0.27175662520757904,1.9891093980279209,0.0,0.8068440732809562,0.5262615253385394,0.0,0.4078571355438897,0.04644345811296424,0.35523764830204163,0.0,26.4250000584641,33.973111702044804,64.08191689559965,26.4250000584641
2014-06-19 19:00:00,0.03184306216166462,1.9791480296456854,0.0,0.8425556412961224,0.537667511929824,0.0,0.9312560658524623,0.0,0.9251472857202331,0.0,0.33000000033930177,0.33000000033930177,0.33000000033930177,0.33000000033930177
2014-06-19 20:00:00,-0.20777071162480296,1.994745446328123,0.0,0.8165430985178557,0.5391718772805649,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-19 21:00:00,-0.444159388770257,2.039363055869069,0.0,0.730579156748736,0.5306721013781893,0.0,1.0,0.22774396566151067,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-19 22:00:00,-0.6728231555506248,2.1261761364027496,0.0,0.590522116558198,0.512747429903901,0.0,1.0,0.40271344673260234,1.0,0.10535738219089386,0.0,0.0,0.0,0.0
2014-06-19 23:00:00,-0.8844785814340322,2.2867288401965116,0.0,0.4059166337800233,0.4866193995967531,0.0,1.0,0.5128662271579234,1.0,0.27034916260109565,0.0,0.0,0.0,0.0
2014-06-20 00:00:00,-1.0564514531265303,2.5868837491987513,0.0,0.18934326699056017,0.45406859254356563,0.0,1.0,0.5829340468292372,1.0,0.37529988896854005,0.0,0.0,0.0,0.0
2014-06-20 01:00:00,-1.1377115995878104,3.0880408240434924,0.0,0.0,0.41731329245226073,0.04443886676789967,1.0,0.6261355626510077,1.0,0.44000905912594557,0.0,0.0,0.0,0.0
2014-06-20 02:00:00,-1.0805989157359313,3.6175592646845356,0.0,0.0,0.37885831228305633,0.2794979014229597,1.0,0.648107201266464,1.0,0.4729191659765972,0.0,0.0,0.0,0.0
2014-06-20 03:00:00,-0.9207271310664902,3.9535909936377505,0.0,0.0,0.34132429538462383,0.4998149522163009,1.0,0.6485840622146706,1.0,0.47363342971600464,0.0,0.0,0.0,0.0
2014-06-20 04:00:00,-0.7141240000488831,4.133998023838266,0.0,0.0,0.30726912298069564,0.690375776227497,1.0,0.6194384627108049,1.0,0.4299778421339402,0.0,0.0,0.0,0.0
