date_local,T_out_baseline_C,T_out_2040_C
2001-07-01,27.950833333333335,30.116455455517738
2001-07-02,27.515833333333333,29.563401614119716
2001-07-03,28.13416666666667,30.45455865841992
2001-07-04,27.019166666666667,29.356436936814315
2001-07-05,27.379583333333333,29.771407668753742
2001-07-06,28.172083333333333,30.630922313995182
2001-07-07,28.501666666666665,30.679529146039055
2001-07-08,27.0625,29.216856833572017
2001-07-09,26.395416666666666,28.543395096685302
2001-07-10,27.6425,29.797845361992575
2001-07-11,27.669583333333335,29.839375460926266
2001-07-12,26.660416666666666,28.811873097925268
2001-07-13,27.258333333333336,29.559961071534975
2001-07-14,26.812916666666666,28.665188909021655
2001-07-15,27.719166666666666,29.503465328324996
2001-07-16,26.86916666666667,28.314791536543083
2001-07-17,26.352500000000003,27.59852861755123
2001-07-18,26.835416666666664,28.130747114952065
2001-07-19,27.377916666666668,28.820453013840925
2001-07-20,27.57625,28.914147728704254
2001-07-21,27.635,28.538689733094763
2001-07-22,28.24416666666667,29.17777356974817
2001-07-23,28.443749999999998,29.36298103408964
2001-07-24,27.885416666666668,28.54994796630672
2001-07-25,27.085833333333337,28.050717419820046
2001-07-26,27.303749999999997,28.472614326002304
2001-07-27,27.65416666666667,28.921839366211742
2001-07-28,28.242500000000003,29.54435338829516
2001-07-29,27.51125,28.714757767371335
2001-07-30,27.697916666666668,28.89282359069647
2001-07-31,27.45125,28.632621602213757
2001-08-01,27.59625,28.602388791243627
2001-08-02,27.767083333333332,28.605952325506273
2001-08-03,28.043333333333333,28.803413020034295
2001-08-04,27.8075,28.89193402428317
2001-08-05,28.116666666666664,29.566425257002262
2001-08-06,27.36583333333333,29.202823278753456
2001-08-07,27.602083333333336,29.491115983565642
2001-08-08,27.672083333333333,29.64521818385604
2001-08-09,27.3325,29.144864439489854
2001-08-10,27.381249999999998,28.9791326750249
2001-08-11,27.68041666666667,29.512055039736264
2001-08-12,27.325,29.323943641151445
2001-08-13,26.8475,28.811577491935537
2001-08-14,26.734583333333333,28.652183900345587
2001-08-15,26.6925,28.161658165473636
2001-08-16,26.980416666666667,28.349811212932686
2001-08-17,27.27916666666667,28.3069225837563
2001-08-18,27.924166666666665,28.89854680931221
2001-08-19,27.04375,27.99237453303106
2001-08-20,26.40625,27.373323928204425
2001-08-21,27.360416666666666,28.042737438555474
2001-08-22,26.800833333333333,27.24916765745181
2001-08-23,27.32166666666667,28.227495861819218
2001-08-24,26.644583333333333,27.354252167207385
2001-08-25,26.455,26.976039125623696
2001-08-26,26.720416666666665,27.144570824165196
2001-08-27,26.561666666666667,27.132199152623702
2001-08-28,26.079166666666666,26.604382475780323
2001-08-29,26.986666666666665,27.500370405198673
2001-08-30,26.604583333333334,27.375247515499048
2001-08-31,27.10875,28.20960590406777
2001-09-01,26.39375,27.30918668624303
2001-09-02,26.145,26.85385281308832
2001-09-03,26.3225,27.245807793481553
2001-09-04,26.203333333333333,27.28165931084649
2001-09-05,26.284166666666664,27.614632105561537
2001-09-06,26.04875,27.383321537967127
2001-09-07,26.89375,28.18383651462123
2001-09-08,26.30458333333333,27.636134590720754
2001-09-09,26.151666666666667,27.570125236870325
2001-09-10,26.044166666666666,27.50909633898703
2001-09-11,27.32875,28.96485416407827
2001-09-12,26.96291666666667,28.87499868138714
2001-09-13,27.407916666666665,29.161048672701952
2001-09-14,26.70125,28.659787196778673
2001-09-15,26.454583333333332,28.61933576347409
2001-09-16,27.474999999999998,29.385815635182905
2001-09-17,26.97583333333333,28.47309402393536
2001-09-18,27.75375,29.315074161549585
2001-09-19,27.768333333333334,29.427137915795537
2001-09-20,28.07041666666667,29.666747439560737
2001-09-21,28.06458333333333,29.712800350340974
2001-09-22,28.317083333333333,30.329773535025883
2001-09-23,28.244583333333335,30.347120751259894
2001-09-24,28.285416666666666,30.16866263629738
2001-09-25,28.28625,29.949238923794752
2001-09-26,28.0725,29.958610474278828
2001-09-27,27.41416666666667,29.356733375820625
2001-09-28,26.827916666666667,29.03456777753002
2001-09-29,26.682083333333335,28.67428076936441
2001-09-30,27.185833333333335,29.34798449079926
2001-10-01,27.18541666666667,29.379207520141662
2001-10-02,28.00208333333333,30.116849352363243
2001-10-03,26.91875,28.899261005067526
2001-10-04,27.527083333333334,29.40096648414122
2001-10-05,27.721249999999998,29.580475348547157
2001-10-06,27.76125,29.528805462336116
2001-10-07,27.935833333333335,29.681088924455615
2001-10-08,28.000833333333333,29.710205272161325
2001-10-09,28.27208333333333,30.105895553452964
2001-10-10,27.661666666666665,29.659904995752466
2001-10-11,28.477500000000003,30.1241971964269
2001-10-12,27.268333333333334,28.58332780507527
2001-10-13,26.485833333333332,27.601972541765765
2001-10-14,26.417083333333334,27.520431081533026
2001-10-15,27.065833333333334,28.224864361078886
2001-10-16,27.1925,28.259806657832783
2001-10-17,27.059166666666666,28.00359517637645
2001-10-18,27.886666666666667,29.039596578112462
2001-10-19,28.33458333333333,29.200798413378486
2001-10-20,27.33458333333333,28.572133664089353
2001-10-21,26.930833333333336,27.98958398081773
2001-10-22,27.85875,28.844078950812545
2001-10-23,28.153750000000002,29.147269262681455
2001-10-24,27.714583333333334,28.727615762239218
2001-10-25,27.064999999999998,28.225564565756915
2001-10-26,27.548333333333332,28.78437581731533
2001-10-27,27.557916666666667,29.08216563345443
2001-10-28,26.837083333333336,28.54368195045605
2001-10-29,26.374166666666667,28.1791455427697
2001-10-30,26.395833333333332,28.42736080397116
2001-10-31,26.631666666666664,28.51620703864946
2001-11-01,27.48875,29.85655413016843
2001-11-02,27.100416666666664,29.459718926723212
2001-11-03,27.045833333333334,29.389480686991757
2001-11-04,26.431250000000002,28.63347384782261
2001-11-05,26.199583333333333,28.595630858156554
2001-11-06,26.433333333333334,28.911724785220155
2001-11-07,27.2625,29.80557365928369
2001-11-08,27.804166666666664,30.07419261078876
2001-11-09,26.339166666666667,28.99429334333674
2001-11-10,27.342083333333335,29.981129101127234
2001-11-11,27.327916666666667,30.27291965340396
2001-11-12,27.04125,30.09901664097483
2001-11-13,26.661666666666665,29.645528003512037
2001-11-14,26.787916666666664,29.809859877533537
2001-11-15,26.738333333333333,29.40835389313011
2001-11-16,26.303749999999997,28.817040836118093
2001-11-17,26.5975,29.079317314226678
2001-11-18,26.389583333333334,28.79454330764945
2001-11-19,25.76375,28.00670123344104
2001-11-20,25.889583333333334,27.7399537277469
2001-11-21,26.293333333333333,28.08587529715861
2001-11-22,26.743333333333336,28.244812273767323
2001-11-23,27.27541666666667,28.723571712293698
2001-11-24,27.484583333333333,28.967682719890643
2001-11-25,27.522499999999997,29.269355881759587
2001-11-26,27.519583333333333,29.212225120051187
2001-11-27,27.3775,28.911696504367338
2001-11-28,26.95958333333333,28.425733827800727
2001-11-29,26.179166666666664,27.68271308953643
2001-11-30,26.672083333333333,28.067812024762116
2001-12-01,26.848333333333333,28.367252401394396
2001-12-02,27.330416666666665,28.296423812069996
2001-12-03,27.11791666666667,27.89574051692974
2001-12-04,27.27625,28.361992113918554
2001-12-05,27.485416666666666,28.355533623131258
2001-12-06,26.884583333333335,28.13166479552405
2001-12-07,27.052083333333332,28.425386848559647
2001-12-08,27.256666666666664,28.535351033070125
2001-12-09,26.844166666666666,27.950811515921526
2001-12-10,26.9325,28.25449281534228
2001-12-11,26.723333333333333,28.341747708036365
2001-12-12,26.424166666666665,28.07106680754658
2001-12-13,26.540833333333335,28.39429308560681
2001-12-14,26.812083333333334,28.799573196477162
2001-12-15,27.192916666666665,29.013082383581335
2001-12-16,26.91625,28.550942596498835
2001-12-17,27.24875,28.775065787194038
2001-12-18,26.82041666666667,28.72750184883066
2001-12-19,26.823333333333334,28.829424229963728
2001-12-20,26.76875,28.613892379157456
2001-12-21,26.952916666666667,28.721341043065003
2001-12-22,27.23708333333333,28.77635602958694
2001-12-23,27.16875,29.033695728995013
2001-12-24,27.055000000000003,29.03730173994809
2001-12-25,26.452083333333334,28.357682808794817
2001-12-26,26.392083333333332,28.617320657070838
2001-12-27,26.471666666666668,28.449777226607154
2001-12-28,26.502499999999998,28.43469617448249
2001-12-29,26.762916666666666,28.532158169841754
2001-12-30,26.614583333333332,28.5468610794739
2001-12-31,26.4175,28.166122243158817
